,State,Total Votes,Republican Votes,Republican Percentage,Republican Electoral,Democratic Votes,Democratic Percentage,Democratic Electoral,President Elect,Winning Party,year
1004,New York,8262495,3578899,43.31%,0,4619195,55.91%,28,Donald Trump,R,2024
1005,North Carolina,5699141,2898423,50.86%,16,2715375,47.65%,0,Donald Trump,R,2024
1006,North Dakota,368155,246505,66.96%,3,112327,30.51%,0,Donald Trump,R,2024
1007,Ohio,5767788,3180116,55.14%,17,2533699,43.93%,0,Donald Trump,R,2024
1008,Oklahoma,1566173,1036213,66.16%,7,499599,31.90%,0,Donald Trump,R,2024
1009,Oregon,2244493,919480,40.97%,0,1240600,55.27%,8,Donald Trump,R,2024
1010,Pennsylvania,7034206,3543308,50.37%,19,3423042,48.66%,0,Donald Trump,R,2024
1011,Rhode Island,513386,214406,41.76%,0,285156,55.54%,4,Donald Trump,R,2024
1012,South Carolina,2548140,1483747,58.23%,9,1028452,40.36%,0,Donald Trump,R,2024
1013,South Dakota,428922,272081,63.43%,3,146859,34.24%,0,Donald Trump,R,2024
1014,Tennessee,3063942,1966865,64.19%,11,1056265,34.47%,0,Donald Trump,R,2024
1015,Texas,11388674,6393597,56.14%,40,4835250,42.46%,0,Donald Trump,R,2024
1016,Utah,1488494,883818,59.38%,6,562566,37.79%,0,Donald Trump,R,2024
1017,Vermont,369422,119395,32.32%,0,235791,63.83%,3,Donald Trump,R,2024
1018,Virginia,4505941,2075085,46.05%,0,2335395,51.83%,13,Donald Trump,R,2024
1019,Washington,3924243,1530923,39.01%,0,2245849,57.23%,12,Donald Trump,R,2024
1020,West Virginia,762390,533556,69.98%,4,214309,28.11%,0,Donald Trump,R,2024
1021,Wisconsin,3415787,1697626,49.70%,10,1668229,48.84%,0,Donald Trump,R,2024
1022,Wyoming,269048,192633,71.60%,3,69527,25.84%,0,Donald Trump,R,2024
