,State,Total Votes,Republican Votes,Republican Percentage,Republican Electoral,Democratic Votes,Democratic Percentage,Democratic Electoral,President Elect,Winning Party,year
163,Maryland,1055349,489538,46.4,0,565808,53.6,9,John F. Kennedy,D,1960
164,Massachusetts,2469480,976750,39.6,0,1487174,60.2,16,John F. Kennedy,D,1960
165,Michigan,3318097,1620428,48.8,0,1687269,50.9,20,John F. Kennedy,D,1960
166,Minnesota,1541887,757915,49.2,0,779933,50.6,11,John F. Kennedy,D,1960
167,Mississippi,298171,73561,24.7,,108362,36.3,,John F. Kennedy,D,1960
168,Missouri,1934422,962221,49.7,0,972201,50.3,13,John F. Kennedy,D,1960
169,Montana,277579,141841,51.1,4,134891,48.6,0,John F. Kennedy,D,1960
170,Nebraska,613095,380553,62.1,6,232542,37.9,0,John F. Kennedy,D,1960
171,Nevada,107267,52387,48.8,0,54880,51.2,3,John F. Kennedy,D,1960
172,New Hampshire,295761,157989,53.4,4,137772,46.6,0,John F. Kennedy,D,1960
173,New Jersey,2773111,1363324,49.2,0,1385415,50.0,16,John F. Kennedy,D,1960
174,New Mexico,311107,153733,49.4,0,156027,50.2,4,John F. Kennedy,D,1960
175,New York,7291079,3446419,47.3,0,3830085,52.5,45,John F. Kennedy,D,1960
176,North Carolina,1368556,655420,47.9,0,713136,52.1,14,John F. Kennedy,D,1960
177,North Dakota,278431,154310,55.4,4,123963,44.5,0,John F. Kennedy,D,1960
178,Ohio,4161859,2217611,53.3,25,1944248,46.7,0,John F. Kennedy,D,1960
179,Oklahoma,903150,533039,59.0,7,370111,41.0,0,John F. Kennedy,D,1960
180,Oregon,776421,408060,52.6,6,367402,47.3,0,John F. Kennedy,D,1960
181,Pennsylvania,5006541,2439956,48.7,0,2556282,51.1,32,John F. Kennedy,D,1960
182,Rhode Island,405535,147502,36.4,0,258032,63.6,4,John F. Kennedy,D,1960
183,South Carolina,386688,188558,48.8,0,198129,51.2,8,John F. Kennedy,D,1960
184,South Dakota,306487,178417,58.2,4,128070,41.8,0,John F. Kennedy,D,1960
185,Tennessee,1051792,556577,52.9,11,481453,45.8,0,John F. Kennedy,D,1960
186,Texas,2311084,1121310,48.5,0,1167567,50.5,24,John F. Kennedy,D,1960
187,Utah,374709,205361,54.8,4,169248,45.2,0,John F. Kennedy,D,1960
188,Vermont,167324,98131,58.6,3,69186,41.3,0,John F. Kennedy,D,1960
189,Virginia,771449,404521,52.4,12,362327,47.0,0,John F. Kennedy,D,1960
190,Washington,1241572,629273,50.7,9,599298,48.3,0,John F. Kennedy,D,1960
191,West Virginia,837781,395995,47.3,0,441786,52.7,8,John F. Kennedy,D,1960
192,Wisconsin,1729082,895175,51.8,12,830805,48.0,0,John F. Kennedy,D,1960
193,Wyoming,140782,77451,55.0,3,63331,45.0,0,John F. Kennedy,D,1960
194,Alabama,689818,479085,69.5,10,0,0.0,0,Lyndon B. Johnson,D,1964
195,Alaska,67259,22930,34.1,0,44329,65.9,3,Lyndon B. Johnson,D,1964
196,Arizona,480770,242535,50.4,5,237753,49.5,0,Lyndon B. Johnson,D,1964
197,Arkansas,560426,243264,43.4,0,314197,56.1,6,Lyndon B. Johnson,D,1964
198,California,7057586,2879108,40.8,0,4171877,59.1,40,Lyndon B. Johnson,D,1964
199,Colorado,776986,296767,38.2,0,476024,61.3,6,Lyndon B. Johnson,D,1964
200,Connecticut,1218578,390996,32.1,0,826269,67.8,8,Lyndon B. Johnson,D,1964
201,Delaware,201320,78078,38.8,0,122704,60.9,3,Lyndon B. Johnson,D,1964
202,Dist. of Col.,198597,28801,14.5,0,169796,85.5,3,Lyndon B. Johnson,D,1964
203,Florida,1854481,905941,48.9,0,948540,51.1,14,Lyndon B. Johnson,D,1964
204,Georgia,1139335,616584,54.1,12,522556,45.9,0,Lyndon B. Johnson,D,1964
205,Hawaii,207271,44022,21.2,0,163249,78.8,4,Lyndon B. Johnson,D,1964
206,Idaho,292477,143557,49.1,0,148920,50.9,4,Lyndon B. Johnson,D,1964
207,Illinois,4702841,1905946,40.5,0,2796833,59.5,26,Lyndon B. Johnson,D,1964
208,Indiana,2091606,911118,43.6,0,1170848,56.0,13,Lyndon B. Johnson,D,1964
209,Iowa,1184539,449148,37.9,0,733030,61.9,9,Lyndon B. Johnson,D,1964
210,Kansas,857901,386579,45.1,0,464028,54.1,7,Lyndon B. Johnson,D,1964
211,Kentucky,1046105,372977,35.7,0,669659,64.0,9,Lyndon B. Johnson,D,1964
212,Louisiana,896293,509225,56.8,10,387068,43.2,0,Lyndon B. Johnson,D,1964
213,Maine,380965,118701,31.2,0,262264,68.8,4,Lyndon B. Johnson,D,1964
214,Maryland,1116457,385495,34.5,0,730912,65.5,10,Lyndon B. Johnson,D,1964
215,Massachusetts,2344798,549727,23.4,0,1786422,76.2,14,Lyndon B. Johnson,D,1964
216,Michigan,3203102,1060152,33.1,0,2136615,66.7,21,Lyndon B. Johnson,D,1964
217,Minnesota,1554462,559624,36.0,0,991117,63.8,10,Lyndon B. Johnson,D,1964
218,Mississippi,409146,356528,87.1,7,52618,12.9,0,Lyndon B. Johnson,D,1964
219,Missouri,1817879,653535,36.0,0,1164344,64.0,12,Lyndon B. Johnson,D,1964
220,Montana,278628,113032,40.6,0,164246,58.9,4,Lyndon B. Johnson,D,1964
221,Nebraska,584154,276847,47.4,0,307307,52.6,5,Lyndon B. Johnson,D,1964
222,Nevada,135433,56094,41.4,0,79339,58.6,3,Lyndon B. Johnson,D,1964
223,New Hampshire,288093,104029,36.1,0,184064,63.9,4,Lyndon B. Johnson,D,1964
224,New Jersey,2847663,964174,33.9,0,1868231,65.6,17,Lyndon B. Johnson,D,1964
225,New Mexico,328645,132838,40.4,0,194015,59.0,4,Lyndon B. Johnson,D,1964
226,New York,7166275,2243559,31.3,0,4913102,68.6,43,Lyndon B. Johnson,D,1964
227,North Carolina,1424983,624844,43.8,0,800139,56.2,13,Lyndon B. Johnson,D,1964
228,North Dakota,258389,108207,41.9,0,149784,58.0,4,Lyndon B. Johnson,D,1964
229,Ohio,3969196,1470865,37.1,0,2498331,62.9,26,Lyndon B. Johnson,D,1964
230,Oklahoma,932499,412665,44.3,0,519834,55.7,8,Lyndon B. Johnson,D,1964
231,Oregon,786305,282779,36.0,0,501017,63.7,6,Lyndon B. Johnson,D,1964
232,Pennsylvania,4822690,1673657,34.7,0,3130954,64.9,29,Lyndon B. Johnson,D,1964
233,Rhode Island,390091,74615,19.1,0,315463,80.9,4,Lyndon B. Johnson,D,1964
234,South Carolina,524779,309048,58.9,8,215723,41.1,0,Lyndon B. Johnson,D,1964
235,South Dakota,293118,130108,44.4,0,163010,55.6,4,Lyndon B. Johnson,D,1964
236,Tennessee,1143946,508965,44.5,0,634947,55.5,11,Lyndon B. Johnson,D,1964
237,Texas,2626811,958566,36.5,0,1663185,63.3,25,Lyndon B. Johnson,D,1964
238,Utah,401413,181785,45.3,0,219628,54.7,4,Lyndon B. Johnson,D,1964
239,Vermont,163089,54942,33.7,0,108127,66.3,3,Lyndon B. Johnson,D,1964
240,Virginia,1042267,481334,46.2,0,558038,53.5,12,Lyndon B. Johnson,D,1964
241,Washington,1258556,470366,37.4,0,779881,62.0,9,Lyndon B. Johnson,D,1964
242,West Virginia,792040,253953,32.1,0,538087,67.9,7,Lyndon B. Johnson,D,1964
243,Wisconsin,1691815,638495,37.7,0,1050424,62.1,12,Lyndon B. Johnson,D,1964
244,Wyoming,142716,61998,43.4,0,80718,56.6,3,Lyndon B. Johnson,D,1964
245,Alabama,1049922,146923,14.0,0,196579,18.7,0,Richard Nixon,R,1968
246,Alaska,83035,37600,45.3,3,35411,42.6,0,Richard Nixon,R,1968
247,Arizona,486936,266721,54.8,5,170514,35.0,0,Richard Nixon,R,1968
248,Arkansas,619969,190759,30.8,0,188228,30.4,0,Richard Nixon,R,1968
249,California,7251587,3467664,47.8,40,3244318,44.7,0,Richard Nixon,R,1968
250,Colorado,811199,409345,50.5,6,335174,41.3,0,Richard Nixon,R,1968
251,Connecticut,1256232,556721,44.3,0,621561,49.5,8,Richard Nixon,R,1968
252,Delaware,214367,96714,45.1,3,89194,41.6,0,Richard Nixon,R,1968
253,Dist. of Col.,170578,31012,18.2,0,139566,81.8,3,Richard Nixon,R,1968
254,Florida,2187805,886804,40.5,14,676794,30.9,0,Richard Nixon,R,1968
255,Georgia,1250266,380111,30.4,0,334440,26.7,0,Richard Nixon,R,1968
256,Hawaii,236218,91425,38.7,0,141324,59.8,4,Richard Nixon,R,1968
257,Idaho,291183,165369,56.8,4,89273,30.7,0,Richard Nixon,R,1968
258,Illinois,4619749,2174774,47.1,26,2039814,44.2,0,Richard Nixon,R,1968
259,Indiana,2123597,1067885,50.3,13,806659,38.0,0,Richard Nixon,R,1968
260,Iowa,1167931,619106,53.0,9,476699,40.8,0,Richard Nixon,R,1968
261,Kansas,872783,478674,54.8,7,302996,34.7,0,Richard Nixon,R,1968
262,Kentucky,1055893,462411,43.8,9,397541,37.6,0,Richard Nixon,R,1968
263,Louisiana,1097450,257535,23.5,0,309615,28.2,0,Richard Nixon,R,1968
264,Maine,392936,169254,43.1,0,217312,55.3,4,Richard Nixon,R,1968
265,Maryland,1235039,517995,41.9,0,538310,43.6,10,Richard Nixon,R,1968
266,Massachusetts,2331752,766844,32.9,0,1469218,63.0,14,Richard Nixon,R,1968
267,Michigan,3306250,1370665,41.5,0,1593082,48.2,21,Richard Nixon,R,1968
268,Minnesota,1588506,658643,41.5,0,857738,54.0,10,Richard Nixon,R,1968
269,Mississippi,654509,88516,13.5,0,150644,23.0,0,Richard Nixon,R,1968
270,Missouri,1809502,811932,44.9,12,791444,43.7,0,Richard Nixon,R,1968
271,Montana,274404,138835,50.6,4,114117,41.6,0,Richard Nixon,R,1968
272,Nebraska,536851,321163,59.8,5,170784,31.8,0,Richard Nixon,R,1968
273,Nevada,154218,73188,47.5,3,60598,39.3,0,Richard Nixon,R,1968
274,New Hampshire,297298,154903,52.1,4,130589,43.9,0,Richard Nixon,R,1968
275,New Jersey,2875395,1325467,46.1,17,1264206,44.0,0,Richard Nixon,R,1968
276,New Mexico,327350,169692,51.8,4,130081,39.7,0,Richard Nixon,R,1968
277,New York,6791688,3007932,44.3,0,3378470,49.7,43,Richard Nixon,R,1968
278,North Carolina,1587493,627192,39.5,12,464113,29.2,0,Richard Nixon,R,1968
279,North Dakota,247882,138669,55.9,4,94769,38.2,0,Richard Nixon,R,1968
280,Ohio,3959698,1791014,45.2,26,1700586,42.9,0,Richard Nixon,R,1968
281,Oklahoma,943086,449697,47.7,8,301658,32.0,0,Richard Nixon,R,1968
282,Oregon,819622,408433,49.8,6,358866,43.8,0,Richard Nixon,R,1968
283,Pennsylvania,4747928,2090017,44.0,0,2259405,47.6,29,Richard Nixon,R,1968
284,Rhode Island,385000,122359,31.8,0,246518,64.0,4,Richard Nixon,R,1968
285,South Carolina,666978,254062,38.1,8,197486,29.6,0,Richard Nixon,R,1968
286,South Dakota,281264,149841,53.3,4,118023,42.0,0,Richard Nixon,R,1968
287,Tennessee,1248617,472592,37.8,11,351233,28.1,0,Richard Nixon,R,1968
288,Texas,3079216,1227844,39.9,0,1266804,41.1,25,Richard Nixon,R,1968
289,Utah,422568,238728,56.5,4,156665,31.1,0,Richard Nixon,R,1968
290,Vermont,161404,85142,52.8,3,70255,43.5,0,Richard Nixon,R,1968
291,Virginia,1361491,590319,43.4,12,442387,32.5,0,Richard Nixon,R,1968
292,Washington,1304281,588510,45.1,0,616037,47.2,9,Richard Nixon,R,1968
293,West Virginia,754206,307555,40.8,0,374091,49.6,7,Richard Nixon,R,1968
294,Wisconsin,1691538,809997,47.9,12,748804,44.3,0,Richard Nixon,R,1968
295,Wyoming,127205,70927,55.8,3,45173,35.5,0,Richard Nixon,R,1968
296,Alabama,1006111,728701,72.4,9,256923,25.5,0,Richard Nixon,R,1972
297,Alaska,95219,55349,58.1,3,32967,34.6,0,Richard Nixon,R,1972
298,Arizona,622926,402812,64.7,6,198540,31.9,0,Richard Nixon,R,1972
299,Arkansas,651320,448541,68.9,6,199892,30.7,0,Richard Nixon,R,1972
300,California,8367862,4602096,55.0,45,3475847,41.5,0,Richard Nixon,R,1972
301,Colorado,953884,597189,62.6,7,329980,34.6,0,Richard Nixon,R,1972
302,Connecticut,1384277,810763,58.6,8,555498,40.1,0,Richard Nixon,R,1972
303,Delaware,235516,140357,59.6,3,92283,39.2,0,Richard Nixon,R,1972
304,Dist. of Col.,163421,35226,21.6,0,127627,78.1,3,Richard Nixon,R,1972
305,Florida,2583283,1857759,71.9,17,718117,27.8,0,Richard Nixon,R,1972
306,Georgia,1174772,881496,75.0,12,289529,24.6,0,Richard Nixon,R,1972
307,Hawaii,270274,168865,62.5,4,101409,37.5,0,Richard Nixon,R,1972
308,Idaho,310379,199384,64.2,4,80826,26.0,0,Richard Nixon,R,1972
309,Illinois,4723236,2788179,59.0,26,1913472,40.5,0,Richard Nixon,R,1972
310,Indiana,2125529,1405154,66.1,13,708568,33.3,0,Richard Nixon,R,1972
311,Iowa,1225944,706207,57.6,8,496206,40.5,0,Richard Nixon,R,1972
312,Kansas,916095,619812,67.7,7,270287,29.5,0,Richard Nixon,R,1972
313,Kentucky,1067499,676446,63.4,9,371159,34.8,0,Richard Nixon,R,1972
314,Louisiana,1051491,686852,65.3,10,298142,28.4,0,Richard Nixon,R,1972
315,Maine,417042,256458,61.5,4,160584,38.5,0,Richard Nixon,R,1972
316,Maryland,1353812,829305,61.3,10,505781,37.4,0,Richard Nixon,R,1972
317,Massachusetts,2458756,1112078,45.2,0,1332540,54.2,14,Richard Nixon,R,1972
318,Michigan,3489727,1961721,56.2,21,1459435,41.8,0,Richard Nixon,R,1972
319,Minnesota,1741652,898269,51.6,10,802346,46.1,0,Richard Nixon,R,1972
320,Mississippi,645963,505125,78.2,7,126782,19.6,0,Richard Nixon,R,1972
321,Missouri,1855803,1153852,62.2,12,697147,37.6,0,Richard Nixon,R,1972
322,Montana,317603,183976,57.9,4,120197,37.8,0,Richard Nixon,R,1972
323,Nebraska,576289,406298,70.5,5,169991,29.5,0,Richard Nixon,R,1972
324,Nevada,181766,115750,63.7,3,66016,36.3,0,Richard Nixon,R,1972
325,New Hampshire,334055,213724,64.0,4,116435,34.9,0,Richard Nixon,R,1972
326,New Jersey,2997229,1845502,61.6,17,1102211,36.8,0,Richard Nixon,R,1972
327,New Mexico,386241,235606,61.0,4,141084,36.5,0,Richard Nixon,R,1972
328,New York,7165919,4192778,58.5,41,2951084,41.2,0,Richard Nixon,R,1972
329,North Carolina,1518612,1054889,69.5,13,438705,28.9,0,Richard Nixon,R,1972
330,North Dakota,280514,174109,62.1,3,100384,35.8,0,Richard Nixon,R,1972
331,Ohio,4094787,2441827,59.6,25,1558889,38.1,0,Richard Nixon,R,1972
332,Oklahoma,1029900,759025,73.7,8,247147,24.0,0,Richard Nixon,R,1972
333,Oregon,927946,486686,52.4,6,392760,42.3,0,Richard Nixon,R,1972
334,Pennsylvania,4592106,2714521,59.1,27,1796951,39.1,0,Richard Nixon,R,1972
335,Rhode Island,415808,220383,53.0,4,194645,46.8,0,Richard Nixon,R,1972
336,South Carolina,673960,477044,70.8,8,186824,27.7,0,Richard Nixon,R,1972
337,South Dakota,307415,166476,54.2,4,139945,45.5,0,Richard Nixon,R,1972
338,Tennessee,1201182,813147,67.7,10,357293,29.7,0,Richard Nixon,R,1972
339,Texas,3471281,2298896,66.2,26,1154289,33.3,0,Richard Nixon,R,1972
340,Utah,478476,323643,67.6,4,126284,26.4,0,Richard Nixon,R,1972
341,Vermont,186947,117149,62.7,3,68174,36.5,0,Richard Nixon,R,1972
342,Virginia,1457019,988493,67.8,11,438887,30.1,0,Richard Nixon,R,1972
343,Washington,1470847,837135,56.9,9,568334,38.6,0,Richard Nixon,R,1972
344,West Virginia,762399,484964,63.6,6,277435,36.4,0,Richard Nixon,R,1972
345,Wisconsin,1852890,989430,53.4,11,810174,43.7,0,Richard Nixon,R,1972
346,Wyoming,145570,100464,69.0,3,44358,30.5,0,Richard Nixon,R,1972
347,Alabama,1182850,659170,55.7,9,504070,42.6,0,Jimmy Carter,D,1976
348,Alaska,123574,44058,35.7,0,71555,57.9,3,Jimmy Carter,D,1976
349,Arizona,742719,295602,39.8,0,418642,56.4,6,Jimmy Carter,D,1976
350,Arkansas,767535,498604,65.0,6,267903,34.9,0,Jimmy Carter,D,1976
351,California,7867117,3742284,47.6,0,3882244,49.3,45,Jimmy Carter,D,1976
352,Colorado,1081554,460353,42.6,0,584367,54.0,7,Jimmy Carter,D,1976
353,Connecticut,1381526,647895,46.9,0,719261,52.1,8,Jimmy Carter,D,1976
354,Delaware,235834,122596,52.0,3,109831,46.6,0,Jimmy Carter,D,1976
355,Dist. of Col.,168830,137818,81.6,3,27873,16.5,0,Jimmy Carter,D,1976
356,Florida,3150631,1636000,51.9,17,1469531,46.6,0,Jimmy Carter,D,1976
357,Georgia,1467458,979409,66.7,12,483743,33.0,0,Jimmy Carter,D,1976
358,Hawaii,291301,147375,50.6,4,140003,48.1,0,Jimmy Carter,D,1976
359,Idaho,344071,126549,36.8,0,204151,59.3,4,Jimmy Carter,D,1976
360,Illinois,4718914,2271295,48.1,0,2364269,50.1,26,Jimmy Carter,D,1976
361,Indiana,2220362,1014714,45.7,0,1183958,53.3,13,Jimmy Carter,D,1976
362,Iowa,1279306,619931,48.5,0,632863,49.5,8,Jimmy Carter,D,1976
363,Kansas,957845,430421,44.9,0,502752,52.5,7,Jimmy Carter,D,1976
364,Kentucky,1167142,615717,52.8,9,531852,45.6,0,Jimmy Carter,D,1976
365,Louisiana,1278439,661365,51.7,10,587446,46.0,0,Jimmy Carter,D,1976
366,Maine,483216,232279,48.1,0,236320,48.9,4,Jimmy Carter,D,1976
367,Maryland,1439897,759612,52.8,10,672661,46.7,0,Jimmy Carter,D,1976
368,Massachusetts,2547558,1429475,56.1,14,1030276,40.4,0,Jimmy Carter,D,1976
369,Michigan,3653749,1696714,46.4,0,1893742,51.8,21,Jimmy Carter,D,1976
370,Minnesota,1949931,1070440,54.9,10,819395,42.0,0,Jimmy Carter,D,1976
371,Mississippi,769361,381309,49.6,7,366846,47.7,0,Jimmy Carter,D,1976
372,Missouri,1953600,998387,51.1,12,927443,47.5,0,Jimmy Carter,D,1976
373,Montana,328734,149259,45.4,0,173703,52.8,4,Jimmy Carter,D,1976
374,Nebraska,607668,233692,38.5,0,359705,59.2,5,Jimmy Carter,D,1976
375,Nevada,201876,92479,45.8,0,101273,50.2,3,Jimmy Carter,D,1976
376,New Hampshire,339618,147635,43.5,0,185935,54.7,4,Jimmy Carter,D,1976
377,New Jersey,3014472,1444653,47.9,0,1509688,50.1,17,Jimmy Carter,D,1976
378,New Mexico,418409,201148,48.1,0,211419,50.5,4,Jimmy Carter,D,1976
379,New York,6534170,3389558,51.9,41,3100791,47.5,0,Jimmy Carter,D,1976
380,North Carolina,1678914,927365,55.2,13,741960,44.2,0,Jimmy Carter,D,1976
381,North Dakota,297188,136078,45.8,0,153470,51.6,3,Jimmy Carter,D,1976
382,Ohio,4111873,2011621,48.9,25,2000505,48.7,0,Jimmy Carter,D,1976
383,Oklahoma,1092251,532442,48.7,0,545708,50.0,8,Jimmy Carter,D,1976
384,Oregon,1029876,490407,47.6,0,492120,47.8,6,Jimmy Carter,D,1976
385,Pennsylvania,4620787,2328677,50.4,27,2205604,47.7,0,Jimmy Carter,D,1976
386,Rhode Island,411170,227636,55.4,4,181249,44.1,0,Jimmy Carter,D,1976
387,South Carolina,802583,450807,56.2,8,346149,43.1,0,Jimmy Carter,D,1976
388,South Dakota,300678,147068,48.9,0,151505,50.4,4,Jimmy Carter,D,1976
389,Tennessee,1476345,825879,55.9,10,633969,42.9,0,Jimmy Carter,D,1976
390,Texas,4071884,2082319,51.1,26,1953300,48.0,0,Jimmy Carter,D,1976
391,Utah,541198,182110,33.6,0,337908,62.4,4,Jimmy Carter,D,1976
392,Vermont,187765,80954,43.1,0,102085,54.4,3,Jimmy Carter,D,1976
393,Virginia,1697094,813896,48.0,0,836554,49.3,12,Jimmy Carter,D,1976
394,Washington,1555534,717323,46.1,0,777732,50.0,8,Jimmy Carter,D,1976
395,West Virginia,750964,435914,58.0,6,314760,41.9,0,Jimmy Carter,D,1976
396,Wisconsin,2104175,1040232,49.4,11,1004987,47.8,0,Jimmy Carter,D,1976
397,Wyoming,156343,62239,39.8,0,92717,59.3,3,Jimmy Carter,D,1976
398,Alabama,1341929,654192,48.8,9,636730,47.4,0,Ronald Reagan,R,1980
399,Alaska,158445,86112,54.3,3,41842,26.4,0,Ronald Reagan,R,1980
400,Arizona,873945,529688,60.6,6,246843,28.2,0,Ronald Reagan,R,1980
401,Arkansas,837582,403164,48.1,6,398041,47.5,0,Ronald Reagan,R,1980
402,California,8587063,4524858,52.7,45,3083661,35.9,0,Ronald Reagan,R,1980
403,Colorado,1184415,652264,55.1,7,367973,31.1,0,Ronald Reagan,R,1980
404,Connecticut,1406285,677210,48.2,8,541732,38.5,0,Ronald Reagan,R,1980
405,Delaware,235900,111252,47.2,3,105754,44.8,0,Ronald Reagan,R,1980
406,Dist. of Col.,175237,23545,13.4,0,131113,74.8,3,Ronald Reagan,R,1980
407,Florida,3686930,2046951,55.5,17,1419475,38.5,0,Ronald Reagan,R,1980
408,Georgia,1596695,654168,41.0,0,890733,55.8,12,Ronald Reagan,R,1980
409,Hawaii,303287,130112,42.9,0,135879,44.8,4,Ronald Reagan,R,1980
410,Idaho,437431,290699,66.5,4,110192,25.2,0,Ronald Reagan,R,1980
411,Illinois,4749721,2358049,49.6,26,1981413,41.7,0,Ronald Reagan,R,1980
412,Indiana,2242033,1255656,56.0,13,844197,37.7,0,Ronald Reagan,R,1980
413,Iowa,1317661,676026,51.3,8,508672,38.6,0,Ronald Reagan,R,1980
414,Kansas,979795,566812,57.9,7,326150,33.3,0,Ronald Reagan,R,1980
415,Kentucky,1294627,635274,49.1,9,616417,47.6,0,Ronald Reagan,R,1980
416,Louisiana,1548591,792853,51.2,10,708453,45.7,0,Ronald Reagan,R,1980
417,Maine,523011,238522,45.6,4,220974,42.3,0,Ronald Reagan,R,1980
418,Maryland,1540496,680606,44.2,0,726161,47.1,10,Ronald Reagan,R,1980
419,Massachusetts,2522890,1057631,41.9,14,1053802,41.7,0,Ronald Reagan,R,1980
420,Michigan,3909725,1915225,49.0,21,1661532,42.5,0,Ronald Reagan,R,1980
421,Minnesota,2051980,873268,42.6,0,954174,46.5,10,Ronald Reagan,R,1980
422,Mississippi,892620,441089,49.4,7,429281,48.1,0,Ronald Reagan,R,1980
423,Missouri,2099824,1074181,51.2,12,931182,44.3,0,Ronald Reagan,R,1980
424,Montana,363952,206814,56.8,4,118032,32.4,0,Ronald Reagan,R,1980
425,Nebraska,640854,419937,65.5,5,166851,26.0,0,Ronald Reagan,R,1980
426,Nevada,247885,155017,62.5,3,66666,26.9,0,Ronald Reagan,R,1980
427,New Hampshire,383990,221705,57.7,4,108864,28.4,0,Ronald Reagan,R,1980
428,New Jersey,2975684,1546557,52.0,17,1147364,38.6,0,Ronald Reagan,R,1980
429,New Mexico,456971,250779,54.9,4,167826,36.7,0,Ronald Reagan,R,1980
430,New York,6201959,2893831,46.7,41,2728372,44.0,0,Ronald Reagan,R,1980
431,North Carolina,1855833,915018,49.3,13,875635,47.2,0,Ronald Reagan,R,1980
